;bond_length_average;bond_length_variance;bond_length_variance_variance;k_values;length_values
284;0.942681953414;0.00103336845062;3.15989954594e-10;600.0;0.94
285;1.39263760057;0.00138656250195;5.29849683636e-10;440.0;1.39
286;0.953118123337;0.000896912179483;2.30703086567e-10;680.0;0.95
287;0.793160496666;0.000758138278216;1.84540580099e-10;820.0;0.79
288;0.94223845701;0.000714601296593;1.58945905315e-10;920.0;0.94
289;1.29097614367;0.000725775525392;1.7028960129e-10;880.0;1.29
290;1.09173774247;0.00074606264684;1.64601189504e-10;860.0;1.09
291;0.793152011095;0.000879597660773;2.39893132211e-10;720.0;0.79
292;0.941518918207;0.000659941447715;1.6045941516e-10;960.0;0.94
293;1.01403049735;0.00154495986699;7.36270253534e-10;380.0;1.01
294;1.25152703164;0.00078077589265;1.92760856836e-10;840.0;1.25
295;1.11229502814;0.000918168904005;2.39785227884e-10;700.0;1.11
296;1.09194610168;0.00094183751862;2.95852258172e-10;660.0;1.09
297;0.79316086135;0.000807736761635;1.8895674038e-10;780.0;0.79
298;0.792869433126;0.00067662262986;1.3933026159e-10;920.0;0.79
299;0.792822110886;0.000668039883119;1.56814177671e-10;940.0;0.79
300;1.33221418725;0.000925280911705;2.50539056342e-10;640.0;1.33
301;1.0921234789;0.000795591635492;1.98266191434e-10;760.0;1.09
302;1.24225088442;0.000935957039463;3.16221963623e-10;660.0;1.24
303;1.09168107475;0.00087843067872;2.48857654005e-10;680.0;1.09
304;1.33285258496;0.00160557705684;7.54698869878e-10;380.0;1.33
305;1.09175236341;0.0006556000073;1.55438579106e-10;940.0;1.09
306;1.39186128068;0.00115306472077;3.69368043905e-10;540.0;1.39
307;1.392456442;0.0011735124372;4.78705440718e-10;520.0;1.39
308;1.24141441899;0.000813903140183;1.81687318401e-10;800.0;1.24
309;0.794763338605;0.00107486008646;3.57270224189e-10;580.0;0.79
310;1.03241269729;0.000679195468833;1.46364285957e-10;940.0;1.03
311;1.39146085771;0.000802548002391;2.19644698359e-10;800.0;1.39
312;1.39194357786;0.000829332892734;2.56083303528e-10;740.0;1.39
313;0.874931130187;0.00133525428208;4.77151122119e-10;460.0;0.87
314;0.813877990209;0.000904361199144;2.86852086815e-10;680.0;0.81
315;1.24322651471;0.00160396598193;7.16634560899e-10;380.0;1.24
316;0.813312924439;0.000863978858297;2.19012762689e-10;700.0;0.81
317;0.941798781725;0.00075223813749;1.93677921181e-10;820.0;0.94
318;1.31155012547;0.000667881542673;1.46415392076e-10;980.0;1.31
319;1.19376478486;0.00128873828139;5.87071412221e-10;480.0;1.19
320;1.09181835419;0.00071909292808;1.58708452889e-10;880.0;1.09
321;1.39331255683;0.00125743486503;4.51646677942e-10;480.0;1.39
